x	y	z	cluster	label
0.156374	0.094635	0.120932	28	My awesome label here!
0.072931	0.075611	0.097923	13	My awesome label here!
-0.285471	-0.245904	-0.206910	11	My awesome label here!
0.104016	0.119655	0.127123	24	My awesome label here!
0.140582	0.113473	0.189855	23	My awesome label here!
0.135450	0.121617	0.155876	24	My awesome label here!
0.072029	0.081120	0.094518	13	My awesome label here!
0.159194	0.063630	0.150266	28	My awesome label here!
-0.272916	-0.231366	-0.229276	11	My awesome label here!
-0.248086	-0.201913	-0.273972	0	My awesome label here!
-0.227405	-0.181668	-0.307922	14	My awesome label here!
-0.247109	-0.200801	-0.275694	0	My awesome label here!
0.142086	0.131180	0.135557	24	My awesome label here!
0.142086	0.131180	0.135557	24	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
0.152509	0.059069	0.208457	23	My awesome label here!
-0.243362	-0.196956	-0.281980	0	My awesome label here!
0.108168	0.013306	0.038425	25	My awesome label here!
-0.208340	-0.166494	-0.336570	14	My awesome label here!
-0.288442	-0.245046	-0.204851	11	My awesome label here!
0.120320	0.139730	0.176763	6	My awesome label here!
0.065426	0.089835	0.050552	21	My awesome label here!
0.073949	0.069412	0.101752	13	My awesome label here!
0.132658	0.169710	0.183013	6	My awesome label here!
0.141299	0.119074	0.212719	23	My awesome label here!
0.071222	0.086049	0.091471	13	My awesome label here!
0.083631	0.132116	0.108268	24	My awesome label here!
0.074610	0.077019	-0.006757	25	My awesome label here!
0.075109	0.062383	0.106090	13	My awesome label here!
0.152681	0.102322	0.086147	15	My awesome label here!
0.241609	-0.190544	0.353405	1	My awesome label here!
0.075109	0.062383	0.106090	13	My awesome label here!
-0.249111	-0.203059	-0.272181	0	My awesome label here!
0.156532	0.066687	0.086666	15	My awesome label here!
0.123307	0.156150	0.143823	16	My awesome label here!
-0.243362	-0.196956	-0.281980	0	My awesome label here!
-0.269041	-0.226184	-0.236698	11	My awesome label here!
